"Date_time","Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbr","Maize_slope","Maize_yint","Maize_R2","Maize_RMSE","Maize_diff","Soy_slope","Soy_yint","Soy_R2","Soy_RMSE","Soy_diff","Wheat_slope","Wheat_yint","Wheat_R2","Wheat_RMSE","Wheat_diff","SOC_slope","SOC_yint","SOC_R2","SOC_RMSE","SOC_diff","Temp_slope","Temp_yint","Temp_R2","Temp_RMSE","Moist_slope","Moist_yint","Moist_R2","Moist_RMSE","N2O_slope","N2O_yint","N2O_R2","N2O_RMSE","N2O_diff","CH4_slope","CH4_yint","CH4_R2","CH4_RMSE","CH4_diff"
"2023-03-05 16:35:23","APSIM","1","1","1_1","CR","0.126410952245874","7.12048507392002","0.09","2.31","-12.198","0.428710260385518","1.06964730934562","0.23","0.91","4.58","0.544117730598903","1.80511731779952","0.67","0.62","-0.0749999999999997","0.0201277063436287","22.4780873436366","0.03","4.96","-8.65374999999997","1.0303126180006","4.81573997973956","0.78","6.62","0.67067753537654","9.81704017441782","0.61","5.18","0.130032837566907","0.422630683985698","0.03","6.47","614.51",NA,NA,NA,NA,NA
"2023-03-05 16:40:30","Daycent","1","1","1_1","CR","0.158070683372166","5.4516735805708","0.07","2.25","5.17316444444445","0.378938732445605","1.59827087659779","0.73","0.57","-0.246197777777776","-0.196064828302781","4.28156425069143","0.15","1.41","3.89273333333334","0.0115748096029283","22.6549528110659","0.03","4.82","-8.95374999999997","0.713230252400619","6.00671030230069","0.73","4.67","0.00672202847898238","0.0613311555234616","0.62","21.19","0.241310347498157","2.40509091602929","0.02","9.44","-36.3538","0.172689800423408","-1.28097595113354","0","5.47","75.7162"
"2023-03-05 16:42:30","Millennial","1","1","1_1","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0432537630074974","57.5314331643499","0.04","36.49","-15.3986870390983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-03-05 16:42:52","RothC","1","1","1_1","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.000678547143132718","21.9236413618113","0","4.79","4.28315000000004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-03-05 16:45:56","APSIM","1","2","1_2","NT-CR","0.153365351062479","6.71934930350712","0.18","2.31","-0.378000000000005","0.077778694709866","2.27314364743232","0.01","1.11","4.692","0.696679959402744","1.00525070964661","0.72","0.54","1.912","0.00870682625180518","25.2568423056114","0.01","5.02","-5.02874999999997","1.02134762947901","4.65227848604188","0.79","6.38","0.620341002681057","10.3187656614155","0.54","5.03","0.203353230898508","0.309283402614698","0.05","7.36","698.25",NA,NA,NA,NA,NA
"2023-03-05 16:50:45","Daycent","1","2","1_2","NT-CR","0.233794727347836","5.09130196154811","0.12","2.71","11.5345066666667","0.418215445407811","1.29359120671699","0.6","0.65","4.64504888888889","-0.16995475578294","4.4464202164289","0.07","1.27","2.25385333333333","0.0222489318632306","25.5384226035663","0.05","4.91","-13.32875","0.680289756993371","5.76622905076679","0.73","4.41","0.00624026354438641","0.0680313356723238","0.58","22.06","0.126275515213966","2.01782545333043","0.01","9.84","304.1876","0.10697667827106","-1.75541298781034","0","4.74","199.3202"
"2023-03-05 16:52:51","Millennial","1","2","1_2","NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00899700283353093","60.829655523907","0.01","36.3","-12.7735612570367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-03-05 16:53:21","RothC","1","2","1_2","NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.00121591876473931","25.7138743179077","0","4.88","-6.78984999999996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-03-05 16:56:25","APSIM","1","3","1_3","CC-CR","-0.0270229347158541","6.27673156870913","0.01","2.56","7.273","0.105883517193975","2.27177748452162","0.01","1.28","2.585","0.915239249372385","-0.14057936670845","0.76","0.66","4.298","0.0151756868721895","23.5466041075598","0.05","7.99","21.28","1.03221770717453","4.76170391690834","0.79","6.6","0.535350850099447","13.3914964956735","0.48","5.98","0.0248106212205021","0.147995595554252","0.02","7.98","853.08",NA,NA,NA,NA,NA
"2023-03-05 17:01:05","Daycent","1","3","1_3","CC-CR","0.509883638385503","2.94320454986772","0.37","1.94","4.04480666666667","0.268342746119442","1.78814108471806","0.42","0.82","2.89475777777778","0.338117295916733","2.02193282953959","0.07","1.36","2.36543333333333","0.0226628435146082","24.4731997379026","0.16","7.52","6.58000000000002","0.715608766423458","5.85214587133739","0.74","4.53","0.00593704242839603","0.066801760899062","0.49","22.38","0.27259493903473","2.38553703543531","0.07","8.91","47.0596","0.588056541910724","0.967359892042297","0.01","9","-348.2272"
"2023-03-05 17:03:13","Millennial","1","3","1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.059009183693616","57.0614431720187","0.03","33.75","0.535598499478418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-03-05 17:03:37","RothC","1","3","1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0350038454935389","23.5293700782721","0.12","7.51","16.3966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
