"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1940",NA,NA,"34.4087035216878","Millennial","5_3","5","3",""
"1941",NA,NA,"32.3188463455282","Millennial","5_3","5","3",""
"1942",NA,NA,"32.238222815684","Millennial","5_3","5","3",""
"1943",NA,NA,"31.1981961144475","Millennial","5_3","5","3",""
"1944",NA,NA,"30.5926543816003","Millennial","5_3","5","3",""
"1945",NA,NA,"30.1347495264198","Millennial","5_3","5","3",""
"1946",NA,NA,"29.4219249521781","Millennial","5_3","5","3",""
"1947",NA,NA,"28.5772649418332","Millennial","5_3","5","3",""
"1948",NA,NA,"27.6631702440795","Millennial","5_3","5","3",""
"1949",NA,NA,"26.9605599649012","Millennial","5_3","5","3",""
"1950",NA,NA,"26.1617723949047","Millennial","5_3","5","3",""
"1951",NA,NA,"25.3486005297974","Millennial","5_3","5","3",""
"1952",NA,NA,"24.3870449299187","Millennial","5_3","5","3",""
"1953",NA,NA,"23.5560000937671","Millennial","5_3","5","3",""
"1954",NA,NA,"22.7229285988936","Millennial","5_3","5","3",""
"1955",NA,NA,"22.1687845125262","Millennial","5_3","5","3",""
"1956",NA,NA,"21.7751048278716","Millennial","5_3","5","3",""
"1957",NA,NA,"21.339234910405","Millennial","5_3","5","3",""
"1958",NA,NA,"20.8284128370398","Millennial","5_3","5","3",""
"1959",NA,NA,"20.0236765387186","Millennial","5_3","5","3",""
"1960",NA,NA,"19.4340210893857","Millennial","5_3","5","3",""
"1961",NA,NA,"19.0740860015441","Millennial","5_3","5","3",""
"1962",NA,NA,"18.5726147042237","Millennial","5_3","5","3",""
"1963",NA,NA,"17.7415926802315","Millennial","5_3","5","3",""
"1964",NA,NA,"17.0627255733002","Millennial","5_3","5","3",""
"1965",NA,NA,"16.4044839085297","Millennial","5_3","5","3",""
"1966",NA,NA,"15.8245278472552","Millennial","5_3","5","3",""
"1967",NA,NA,"15.066736556772","Millennial","5_3","5","3",""
"1968",NA,NA,"14.5004161617832","Millennial","5_3","5","3",""
"1969",NA,NA,"14.0595824928877","Millennial","5_3","5","3",""
"1970",NA,NA,"13.6783785485233","Millennial","5_3","5","3",""
"1971",NA,NA,"13.4398009724434","Millennial","5_3","5","3",""
"1972",NA,NA,"13.2963551831391","Millennial","5_3","5","3",""
"1973",NA,NA,"13.2015941009421","Millennial","5_3","5","3",""
"1974",NA,NA,"13.0962629272474","Millennial","5_3","5","3",""
"1975",NA,NA,"12.9274800942252","Millennial","5_3","5","3",""
"1976",NA,NA,"12.7514974027627","Millennial","5_3","5","3",""
"1977",NA,NA,"12.5723547625347","Millennial","5_3","5","3",""
"1978",NA,NA,"12.3641549224305","Millennial","5_3","5","3",""
"1979",NA,NA,"12.1149123994058","Millennial","5_3","5","3",""
"1980",NA,NA,"11.8100441251401","Millennial","5_3","5","3",""
"1981",NA,NA,"11.4203190797644","Millennial","5_3","5","3",""
"1982",NA,NA,"10.9649690700081","Millennial","5_3","5","3",""
"1983",NA,NA,"10.6810059565812","Millennial","5_3","5","3",""
"1984",NA,NA,"10.4790032533973","Millennial","5_3","5","3",""
"1985",NA,NA,"10.2946013306116","Millennial","5_3","5","3",""
"1986",NA,NA,"10.1206869160961","Millennial","5_3","5","3",""
"1987",NA,NA,"9.82274095036919","Millennial","5_3","5","3",""
"1988",NA,NA,"9.4600411241804","Millennial","5_3","5","3",""
"1989",NA,NA,"9.249220272589","Millennial","5_3","5","3",""
"1990",NA,NA,"9.0611883829943","Millennial","5_3","5","3",""
"1991",NA,NA,"8.74976265422379","Millennial","5_3","5","3",""
"1992",NA,NA,"8.453633332327","Millennial","5_3","5","3",""
"1993",NA,NA,"8.1139548136117","Millennial","5_3","5","3",""
"1994",NA,NA,"7.8362837950276","Millennial","5_3","5","3",""
"1995",NA,NA,"7.4552278663671","Millennial","5_3","5","3",""
"1996",NA,NA,"7.1482042757584","Millennial","5_3","5","3",""
"1997",NA,NA,"6.92527919852331","Millennial","5_3","5","3",""
"1998",NA,NA,"6.7238377876437","Millennial","5_3","5","3",""
"1999",NA,NA,"6.6098078331334","Millennial","5_3","5","3",""
"2000",NA,NA,"6.549569027683","Millennial","5_3","5","3",""
"2001",NA,NA,"6.50334840471","Millennial","5_3","5","3",""
"2002",NA,NA,"6.4583259148307","Millennial","5_3","5","3",""
"2003",NA,NA,"6.3964152345666","Millennial","5_3","5","3",""
"2003",NA,NA,"6.3963820143669","Millennial","5_3","5","3",""
"2003",NA,NA,"6.3963487371458","Millennial","5_3","5","3",""
"2003",NA,NA,"6.396315411693","Millennial","5_3","5","3",""
"2003",NA,NA,"6.3962722618497","Millennial","5_3","5","3",""
"2003",NA,NA,"6.3962163482578","Millennial","5_3","5","3",""
"2003",NA,NA,"6.396158708877","Millennial","5_3","5","3",""
"2003",NA,NA,"6.3960995767435","Millennial","5_3","5","3",""
"2004",NA,NA,"6.3629960841056","Millennial","5_3","5","3",""
"2005",NA,NA,"6.3819087089457","Millennial","5_3","5","3",""
"2006",NA,NA,"6.5532078699396","Millennial","5_3","5","3",""
"2007",NA,NA,"6.2527821875087","Millennial","5_3","5","3",""
"2008",NA,NA,"5.75126757291481","Millennial","5_3","5","3",""
"2009",NA,NA,"5.5586079614557","Millennial","5_3","5","3",""
"2010",NA,NA,"5.3041872398611","Millennial","5_3","5","3",""
"2011",NA,NA,"5.1429910750351","Millennial","5_3","5","3",""
"2012",NA,NA,"5.2105179408368","Millennial","5_3","5","3",""
"2013",NA,NA,"5.4053917479493","Millennial","5_3","5","3",""
