"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987,0,0.137,1.2,"APSIM","2_41",2,4,1
1988,0,0.595,1.6,"APSIM","2_41",2,4,1
1989,0,0.828,1.9,"APSIM","2_41",2,4,1
1990,0,0.536,2.3,"APSIM","2_41",2,4,1
1991,0,0.612,2.9,"APSIM","2_41",2,4,1
1992,0,0.733,3.7,"APSIM","2_41",2,4,1
1993,0,0.233,4.2,"APSIM","2_41",2,4,1
1994,0,0.344,4.6,"APSIM","2_41",2,4,1
1995,0,0.526,5,"APSIM","2_41",2,4,1
1996,0,1.036,5.1,"APSIM","2_41",2,4,1
1997,0,0.892,5.3,"APSIM","2_41",2,4,1
1998,0,0.774,5.6,"APSIM","2_41",2,4,1
1999,0,0.359,6,"APSIM","2_41",2,4,1
2000,0,0.434,5.9,"APSIM","2_41",2,4,1
2001,0,0.155,6.1,"APSIM","2_41",2,4,1
2002,0,0.995,6,"APSIM","2_41",2,4,1
2003,1.727,0,6.2,"APSIM","2_41",2,4,1
2004,0,0.655,6.4,"APSIM","2_41",2,4,1
2005,2.139,0,6.4,"APSIM","2_41",2,4,1
2006,0,1.423,6.6,"APSIM","2_41",2,4,1
2007,2.178,0,6.6,"APSIM","2_41",2,4,1
2008,0,0.816,6.3,"APSIM","2_41",2,4,1
2009,1.448,0,6.3,"APSIM","2_41",2,4,1
2010,0,1.098,6.3,"APSIM","2_41",2,4,1
2011,0,0.011,6.5,"APSIM","2_41",2,4,1
2012,1.568,0,6.5,"APSIM","2_41",2,4,1
2013,0,2.048,6.5,"APSIM","2_41",2,4,1
2014,1.862,0,6.7,"APSIM","2_41",2,4,1
2015,0,0.92,6.4,"APSIM","2_41",2,4,1
2016,1.472,0,6.6,"APSIM","2_41",2,4,1
2017,0,1.638,6.3,"APSIM","2_41",2,4,1
2018,0.728,0,6.4,"APSIM","2_41",2,4,1
2019,0,1.524,6.3,"APSIM","2_41",2,4,1
2020,1.516,0,6.5,"APSIM","2_41",2,4,1
2021,0,1.453,6.3,"APSIM","2_41",2,4,1
2022,2.184,0,6.5,"APSIM","2_41",2,4,1
2023,0,1.291,6.4,"APSIM","2_41",2,4,1
2024,2.237,0,6.6,"APSIM","2_41",2,4,1
2025,0,1.494,6.5,"APSIM","2_41",2,4,1
2026,2.293,0,6.9,"APSIM","2_41",2,4,1
2027,0,1.349,6.6,"APSIM","2_41",2,4,1
2028,2.271,0,6.5,"APSIM","2_41",2,4,1
2029,0,1.017,6.5,"APSIM","2_41",2,4,1
2030,1.46,0,6.6,"APSIM","2_41",2,4,1
2031,0,0.547,6.6,"APSIM","2_41",2,4,1
2032,1.805,0,6.5,"APSIM","2_41",2,4,1
2033,0,1.544,6.5,"APSIM","2_41",2,4,1
2034,1.656,0,6.5,"APSIM","2_41",2,4,1
2035,0,0.881,6.2,"APSIM","2_41",2,4,1
2036,2.425,0,5.9,"APSIM","2_41",2,4,1
2037,0,0.529,5.8,"APSIM","2_41",2,4,1
2038,1.658,0,5.9,"APSIM","2_41",2,4,1
2039,0,0.316,5.9,"APSIM","2_41",2,4,1
2040,0.363,0,6.1,"APSIM","2_41",2,4,1
2041,0,1.443,5.6,"APSIM","2_41",2,4,1
2042,1.598,0,5.8,"APSIM","2_41",2,4,1
2043,0,0.534,5.8,"APSIM","2_41",2,4,1
2044,1.359,0,6.1,"APSIM","2_41",2,4,1
2045,0,0.646,6,"APSIM","2_41",2,4,1
2046,0,0,6.1,"APSIM","2_41",2,4,1
2047,0,0.642,5.8,"APSIM","2_41",2,4,1
2048,1.643,0,5.8,"APSIM","2_41",2,4,1
2049,0,0.836,5.7,"APSIM","2_41",2,4,1
2050,1.604,0,5.7,"APSIM","2_41",2,4,1
