Date_time,Model,Climate_Scenario,Mgmt_Scenario,Scenario_Name,Scenario_Abbr,Maize_slope,Maize_yint,Maize_R2,Maize_RMSE,Maize_diff,Soy_slope,Soy_yint,Soy_R2,Soy_RMSE,Soy_diff,Wheat_slope,Wheat_yint,Wheat_R2,Wheat_RMSE,Wheat_diff,SOC_slope,SOC_yint,SOC_R2,SOC_RMSE,SOC_diff,Temp_slope,Temp_yint,Temp_R2,Temp_RMSE,Moist_slope,Moist_yint,Moist_R2,Moist_RMSE,N2O_slope,N2O_yint,N2O_R2,N2O_RMSE,N2O_diff,CH4_slope,CH4_yint,CH4_R2,CH4_RMSE,CH4_diff,Cotton_slope,Cotton_yint,Cotton_R2,Cotton_RMSE,Cotton_diff,Sorghum_slope,Sorghum_yint,Sorghum_R2,Sorghum_RMSE,Sorghum_diff
4/5/2023 10:53,Daycent,1,3,1_3,CC-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.22E-15,6.5,NaN,4.86,-9.79,0.998497555,3.467694804,0.94,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851021012,0.235833391,1,0.17,-0.309095235
4/5/2023 11:01,Daycent,1,51,1_51,RR50-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.909090909,11.99090909,1,4.86,-10.94,0.998698421,3.487863082,0.93,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610632317,0.362743448,0.29,0.35,NA,NA,NA,NA,NA,NA
4/5/2023 11:03,Daycent,1,52,1_52,RR25-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.909090909,11.99090909,1,4.86,-10.94,0.998698421,3.487863082,0.93,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610632317,0.362743448,0.29,0.35,NA,NA,NA,NA,NA,NA
4/5/2023 11:04,Daycent,1,53,1_53,RR00-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.909090909,11.99090909,1,4.86,-10.94,0.998698421,3.487863082,0.93,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610632317,0.362743448,0.29,0.35,NA,NA,NA,NA,NA,NA
4/5/2023 11:06,Daycent,1,54,1_54,RR50-NT-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.238095238,8.154761905,1,4.86,-10.31,0.995007659,3.534960912,0.94,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459089957,0.300897431,0.32,0.26,NA,NA,NA,NA,NA,NA
4/5/2023 11:07,Daycent,1,55,1_55,RR25-NT-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.238095238,8.154761905,1,4.86,-10.31,0.995007659,3.534960912,0.94,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459089957,0.300897431,0.32,0.26,NA,NA,NA,NA,NA,NA
4/5/2023 11:09,Daycent,1,56,1_56,RR00-NT-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.238095238,8.154761905,1,4.86,-10.31,0.995007659,3.534960912,0.94,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459089957,0.300897431,0.32,0.26,NA,NA,NA,NA,NA,NA
4/5/2023 13:58,Daycent,1,7,1_7,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208333333,5.26875,1,5.64,-11.26,0.98083844,3.645436325,0.93,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298232469,0.359620836,0.11,0.46,NaN,NA,NA,NA,NA,NA
4/5/2023 11:12,Daycent,1,8,1_8,NT-CC-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217391304,8.165217391,1,4.86,-10.46,0.995158346,3.52491768,0.94,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027618881,0.485927122,0,0.56,NaN,0.836417919,0.10637164,1,0.05,-0.022324689
4/1/2023 23:49,APSIM,1,3,1_3,CC-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.629695095,2.304882899,0.23,0.29,0.31,0.893848258,6.041012917,0.92,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.341661624,1.117812613,0.58,0.45,0.171296296,NA,3.347,0,2.35,-2.347298939
4/11/2023 23:24,APSIM,1,51,1_51,RR50-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.680412371,20.6814433,1,1.73,5.16,0.895672187,6.01920332,0.92,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.081922105,0.329113855,0.64,0.48,1.196277778,NA,3.098,0,0.59,-0.58561683
4/11/2023 23:24,APSIM,1,52,1_52,RR25-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.721649485,9.725773196,0.51,0.76,2.26,0.894872738,6.037772453,0.92,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.038865265,0.317278013,0.1,0.41,1.005925926,NA,3.039,0,0.53,-0.52661683
4/11/2023 23:25,APSIM,1,53,1_53,RR00-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.216494845,-7.157731959,0.68,0.26,-0.74,0.894280827,6.053077857,0.92,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322107121,0.611847684,0.84,0.42,0.447925926,NA,3.018,0,0.51,-0.50561683
4/11/2023 23:25,APSIM,1,54,1_54,RR50-NT-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26119403,2.720522388,0.55,2.04,6.09,0.895760429,6.017484275,0.92,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.064552716,0.315680273,0.42,0.47,1.213981481,NA,3.133,0,0.9,-0.900915081
4/11/2023 23:26,APSIM,1,55,1_55,RR25-NT-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.074626866,5.879850746,0.04,1.06,3.09,0.895447542,6.025034161,0.92,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071951779,0.226735813,0.18,0.39,1.105907407,NA,3.072,0,0.84,-0.839915081
4/11/2023 23:26,APSIM,1,56,1_56,RR00-NT-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808457711,11.66504975,0.83,0.43,-0.11,0.894446736,6.049752451,0.92,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208948881,0.473297694,0.75,0.41,0.728907407,NA,3.061,0,0.83,-0.828915081
4/1/2023 23:56,APSIM,1,7,1_7,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.041666667,11.65625,1,0.5,-0.16,0.894550427,6.044413704,0.92,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.146403727,1.080898686,0.1,0.53,-1.109555556,NA,NA,NA,NA,NA
4/9/2023 16:32,APSIM,1,8,1_8,NT-CC-CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22073922,7.856365503,0.03,0.38,0.04,0.893889842,6.041492098,0.92,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.828449404,1.237528528,0.93,0.67,1.410925926,NA,3.423,0,2.52,-2.517166911
